0012,System RTC date/time not set,Major 
0048,Password check failed,Major 
0140,PCI component encountered a PERR error,Major 
0141,PCI resource conflict,Major 
0146,PCI out of resources error,Major 
0191,Processor core/thread count mismatch detected,Fatal 
0192,Processor cache size mismatch detected,Fatal 
0194,Processor family mismatch detected,Fatal 
0195,Processor Intel® QPI link frequencies unable to synchronize,Fatal 
0196,Processor model mismatch detected,Fatal 
0197,Processor frequencies unable to synchronize,Fatal 
5220,BIOS Settings reset to default settings,Major 
5221,Passwords cleared by jumper,Major 
5224,Password clear jumper is Set,Major 
8130,Processor 01 disabled,Major 
8131,Processor 02 disabled,Major 
8132,Processor 03 disabled,Major 
8133,Processor 04 disabled,Major 
8160,Processor 01 unable to apply microcode update,Major 
8161,Processor 02 unable to apply microcode update,Major 
8162,Processor 03 unable to apply microcode update,Major 
8163,Processor 04 unable to apply microcode update,Major 
8170,Processor 01 failed Self Test (BIST),Major 
8171,Processor 02 failed Self Test (BIST),Major 
8172,Processor 03 failed Self Test (BIST),Major 
8173,Processor 04 failed Self Test (BIST),Major 
8180,Processor 01 microcode update not found,Minor 
8181,Processor 02 microcode update not found,Minor 
8182,Processor 03 microcode update not found,Minor 
8183,Processor 04 microcode update not found,Minor 
8190,Watchdog timer failed on last boot,Major 
8198,OS boot watchdog timer failure,Major 
8300,Baseboard management controller failed self-test,Major 
8305,Hot Swap Controller failure,Major 
83A0,Management Engine (ME) failed Selftest,Major 
83A1,Management Engine (ME) Failed to respond.,Major 
84F2,Baseboard management controller failed to respond,Major 
84F3,Baseboard management controller in update mode,Major 
84F4,Sensor data record empty,Major 
84FF,System event log full,Minor 
8500,Memory component could not be configured in the selected RAS mode,Major 
8501,DIMM Population Error,Major 
8520,DIMM_A1 failed test/initialization,Major 
8521,DIMM_A2 failed test/initialization,Major 
8522,DIMM_A3 failed test/initialization,Major 
8523,DIMM_B1 failed test/initialization,Major 
8524,DIMM_B2 failed test/initialization,Major 
8525,DIMM_B3 failed test/initialization,Major 
8526,DIMM_C1 failed test/initialization,Major 
8527,DIMM_C2 failed test/initialization,Major 
8528,DIMM_C3 failed test/initialization,Major 
8529,DIMM_D1 failed test/initialization,Major 
852A,DIMM_D2 failed test/initialization,Major 
852B,DIMM_D3 failed test/initialization,Major 
852C,DIMM_E1 failed test/initialization,Major 
852D,DIMM_E2 failed test/initialization,Major 
852E,DIMM_E3 failed test/initialization,Major 
852F,DIMM_F1 failed test/initialization,Major 
8530,DIMM_F2 failed test/initialization,Major 
8531,DIMM_F3 failed test/initialization,Major 
8532,DIMM_G1 failed test/initialization,Major 
8533,DIMM_G2 failed test/initialization,Major 
8534,DIMM_G3 failed test/initialization,Major 
8535,DIMM_H1 failed test/initialization,Major 
8536,DIMM_H2 failed test/initialization,Major 
8537,DIMM_H3 failed test/initialization,Major 
8538,DIMM_I1 failed test/initialization,Major 
8539,DIMM_I2 failed test/initialization,Major 
853A,DIMM_I3 failed test/initialization,Major 
853B,DIMM_J1 failed test/initialization,Major 
853C,DIMM_J2 failed test/initialization,Major 
853D,DIMM_J3 failed test/initialization,Major 
853E,DIMM_K1 failed test/initialization,Major 
853F,DIMM_K2 failed test/initialization,Major 
8540,DIMM_A1 disabled,Major 
8541,DIMM_A2 disabled,Major 
8542,DIMM_A3 disabled,Major 
8543,DIMM_B1 disabled,Major 
8544,DIMM_B2 disabled,Major 
8545,DIMM_B3 disabled,Major 
8546,DIMM_C1 disabled,Major 
8547,DIMM_C2 disabled,Major 
8548,DIMM_C3 disabled,Major 
